"customer","acr","ai_spending"
"Finanz Informatik GmbH & Co.KG",1787463.0,66927.0
"LAM RESEARCH CORPORATION",3686070.0,66070.0
"Hewlett Packard Enterprise",2978526.0,65964.0
"STELLANTIS",4261625.0,65197.0
"PUBLICIS",3182392.0,65038.0
"楽天株式会社",4635896.0,64282.0
"US ARMY HQ",5976420.0,64252.0
"CANADIAN TIRE CORP",3569453.0,64178.0
"SOCIETE GENERALE",4270594.0,63515.0
"NatWest Group",2262987.0,62183.0
"A.P. Møller - Maersk Group",9026177.0,62127.0
"Wipro Ltd",2222252.0,61615.0
"PAYCHEX INC",2109009.0,61294.0
"HEALTH CARE SERVICE CORPORATION (HCSC)",5253907.0,61174.0
"SINGAPORE TELECOMMUNICATIONS LIMITED",1721880.0,60779.0
"SCHLUMBERGER INDUSTRIES",13418395.0,60443.0
"株式会社みずほ銀行",2055331.0,59979.0
"ELECTRONIC ARTS",1858754.0,59891.0
"Aker ASA",3718630.0,59815.0
"SCHNEIDER",8530587.0,59045.0
"AXPO Holding AG",1940156.0,58320.0
"ソニー株式会社",2597968.0,58092.0
"ARTHUR J GALLAGHER & CO",3428299.0,57583.0
"ABB Schweiz AG",4518679.0,57568.0
"HONEYWELL INC",7339701.0,57486.0
"US Department of Justice",3382778.0,57459.0
"Kaiser Permanente",4857137.0,57095.0
"ING BANK NV",2982365.0,56988.0
"MEDLINE INDUSTRIES INC",2476659.0,56916.0
"PROVIDENCE ST. JOSEPH HEALTH",5202149.0,55700.0
"Nestec SA",7836355.0,55264.0
"Coöperatieve Rabobank U.A",10833150.0,54877.0
"Abn Amro Bank N.V.",6496617.0,54665.0
"Nationale Nederlanden",3387418.0,54600.0
"assurant",2447524.0,53924.0
"NATIONAL AUSTRALIA BANK",2778436.0,53464.0
"FEDERAL EXPRESS CORPORATION",10374045.0,53304.0
"CGI Group Inc.",2450316.0,52877.0
"Achmea Holding N.V.",3175781.0,52832.0
"WORLD BANK",2082312.0,52777.0
"U S DEPARTMENT OF COMMERCE",2084267.0,52669.0
"RIO TINTO LTD",3369296.0,52153.0
"PROCTER & GAMBLE COMPANY",7773305.0,50502.0
"STMICROELECTRONICS",2949938.0,50411.0
"XP INVESTIMENTOS CORRETORA DE CAMBIO TITULOS E VALORES MOBIL",2022121.0,50322.0
"BARRACUDA NETWORKS INC",3683374.0,49812.0
"First American Financial corp",4036489.0,49045.0
"JONES LANG LASALLE",2194682.0,48657.0
"キヤノン株式会社",1640320.0,48159.0
"DXC TECHNOLOGY",2300293.0,47625.0
"American Airlines Group",6023367.0,47611.0
"INDUSTRIELLE ALLIANCE",2132044.0,47454.0
"Truveta",1823857.0,47050.0
"NCR Atleos",1711531.0,46820.0
"Rubrik",8631211.0,46784.0
"SAGE SOFTWARE",3822319.0,46490.0
"MUBADALA INVESTMENT COMPANY",1675028.0,46384.0
"VARONIS SYSTEMS LTD",4385414.0,46224.0
"JOHNSON CONTROLS INCORPORATED",4042681.0,44969.0
"パナソニック株式会社",2732101.0,44807.0
"Carl-Zeiss-Stiftung",3430979.0,44727.0
"Royal Philips N.V.",3243688.0,44634.0
"WESTPAC BANKING CORPORATION",9096871.0,44433.0
"Servicetitan, Inc.",3026140.0,43702.0
"AB VOLVO",4012153.0,43677.0
"MSCI INC",1920748.0,43619.0
"MORGAN STANLEY",4222126.0,43597.0
"ALSTOM TRANSPORT",3137229.0,43168.0
"Walgreen National Corporation",15652038.0,43043.0
"CA-STATE GOVERNMENT",5940946.0,42623.0
"上海寻梦信息技术有限公司",62711632.0,42613.0
"CREDICORP S.A.",4390216.0,42502.0
"DYNATRACE SOFTWARE INC",2203092.0,42152.0
"LUMEN TECHNOLOGIES INC",2954767.0,41181.0
"EXELON",7468718.0,40977.0
"FIS Global",8856354.0,40794.0
"STAPLES",1945445.0,39947.0
"Deutsche Lufthansa AG",5235166.0,39898.0
"UPMC",2003234.0,39785.0
"DEPARTMENT FOR TRANSPORT",2220325.0,39655.0
"IKEA GROUP",3070575.0,39522.0
"CELONIS INC.",2225035.0,39197.0
"HUTCHISON INT'L LTD",5608295.0,38726.0
"TELEFONOS DE MEXICO S.A. de C.V.",1979828.0,38355.0
"Deutsche Post DHL",4052282.0,38352.0
"AB InBev",9700862.0,38201.0
"CAIXA ECONOMICA FEDERAL",3457104.0,37964.0
"ECOLAB INC",3374130.0,37530.0
"Novo Nordisk A/S",2528208.0,36722.0
"MARS INC",7954094.0,36682.0
"BDO",4270560.0,35797.0
"STANDARD CHARTERED BANK",3065165.0,35552.0
"GOVERNMENT OF ONTARIO",3935340.0,35162.0
"ENSEMBLE HEALTH PARTNERS",2967318.0,35159.0
"JOHNS HOPKINS UNIVERSITY",2261115.0,35116.0
"BOEING COMPANY",6247581.0,34995.0
"第一生命保険株式会社",1926167.0,34672.0
"SNCF",3595539.0,34488.0
"TELECOM ITALIA SPA",2434686.0,34124.0
"STANDARD INSURANCE CO",1683147.0,33862.0
"BASF SE",3933748.0,33421.0
"Swiss Re Management Ltd",3883225.0,33413.0
"TX-STATE GOVERNMENT",3335993.0,33373.0
"Abbott Laboratories",2556898.0,33151.0
"LOCKHEED MARTIN CORPORATION",2124041.0,33027.0
"Schaeffler AG",2277882.0,33018.0
"Dentsu",2379237.0,32812.0
"Enbw Energie Baden Württemberg AG",1629518.0,32320.0
"PointClickCare Technologies Inc",3393346.0,32171.0
"CHEVRON CORPORATION",13687674.0,31971.0
"BOUYGUES SA",1832892.0,31527.0
"Carefirst Blue Cross Blue Shield of Maryland",2629508.0,31460.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE INC",3952231.0,31238.0
"Suncorp Group",2171302.0,31106.0
"Simcorp A/S",5455552.0,30562.0
"FWD Life Insurance Company (Bermuda) Limited",1671182.0,30498.0
"US Department of State",2907072.0,29704.0
"SURF B.V.",4077375.0,29608.0
"Inditex S.A.",2511755.0,29274.0
"VIZIENT INC",2763937.0,29155.0
"MINISTRY OF JUSTICE",2427540.0,28931.0
"Currys",2183580.0,28788.0
"BLUE YONDER GROUP",9608931.0,28340.0
"DEPARTMENT FOR EDUCATION",2375270.0,27968.0
"Unilever",6692493.0,27815.0
